name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
nederland,2025-03-31T00:00:00,74,74,71.9,93.17,0,0,,0,0,13.6,5.8,160,1008.8,100,6.8,0,0,0,,Overcast,cloudy,"D3611,USW00012917,KBPT,KORG,72241012917,72362953998"
nederland,2025-03-31T01:00:00,74,74,71.9,93.19,0,0,,0,0,14.8,6.9,180,1008.5,100,6.2,0,0,0,,Overcast,cloudy,"D3611,USW00012917,KBPT,KORG,72241012917,72362953998"
nederland,2025-03-31T02:00:00,74,74,73.1,97.01,0,0,,0,0,17,8,190,1008,100,4.9,0,0,0,,Overcast,cloudy,"D3611,USW00012917,KBPT,KORG,72241012917,72362953998"
nederland,2025-03-31T03:00:00,74,74,73.1,97.02,0,0,,0,0,22.6,8.1,200,1007.2,100,3.7,0,0,0,,Overcast,cloudy,"D3611,USW00012917,KBPT,KORG,72241012917,72362953998"
nederland,2025-03-31T04:00:00,74,74,73.1,97.02,0,0,,0,0,21.9,10.2,230,1007,100,2.5,0,0,0,,Overcast,cloudy,"D3611,USW00012917,KBPT,KORG,72241012917,72362953998"
nederland,2025-03-31T05:00:00,74,74,73.1,97.01,0,0,,0,0,20.4,5.8,280,1007.3,100,1.9,0,0,0,,Overcast,cloudy,"D3611,USW00012917,KBPT,KORG,72241012917,72362953998"
nederland,2025-03-31T06:00:00,74,74,73.1,97.01,0,0,,0,0,18.1,5.7,280,1007.5,100,3.2,0,0,0,,Overcast,cloudy,"D3611,USW00012917,KBPT,KORG,72241012917,72362953998"
nederland,2025-03-31T07:00:00,74,74,73.1,96.98,0,0,,0,0,14.3,5.7,280,1008.4,100,5,0,0,0,,Overcast,cloudy,"D3611,USW00012917,KBPT,KORG,72241012917,72362953998"
nederland,2025-03-31T08:00:00,74,74,71.9,93.18,0,0,,0,0,5.6,5.7,310,1009.1,100,5,55,0.2,1,,Overcast,cloudy,"D3611,USW00012917,KBPT,KORG,72241012917,72362953998"
nederland,2025-03-31T09:00:00,74,74,71.9,93.18,0,0,,0,0,7.6,6.9,320,1010.2,100,6.2,48,0.2,0,,Overcast,cloudy,"D3611,USW00012917,KBPT,KORG,72241012917,72362953998"
nederland,2025-03-31T10:00:00,75.8,75.8,71.9,87.69,0,0,,0,0,9.2,4.7,1,1011.2,100,6.9,58,0.2,1,,Overcast,cloudy,"D3611,USW00012917,KBPT,KORG,72241012917,72362953998"
nederland,2025-03-31T11:00:00,78.1,78.1,71.9,81.13,0,0,,0,0,9.4,3.4,50,1011.8,99.4,6.9,169,0.6,2,,Overcast,cloudy,"D3611,USW00012917,KBPT,KORG,72241012917,72362953998"
nederland,2025-03-31T12:00:00,80,80,71,74.05,0,0,,0,0,11,0,291,1012.2,92.2,8.7,833,3,8,,Overcast,cloudy,"D3611,USW00012917,KBPT,KORG,72241012917,72362953998"
nederland,2025-03-31T13:00:00,80.9,84.4,70,69.55,0,0,,0,0,13.2,9.1,49,1012,91.6,9.9,659,2.4,7,,Overcast,cloudy,"USW00012917,KBPT,KORG,72241012917,BETT2,72362953998"
nederland,2025-03-31T14:00:00,84.8,88.7,69.1,59.49,0,0,,0,0,13.2,6.9,40,1011.3,26.4,9.9,680,2.4,7,,Partially cloudy,partly-cloudy-day,"USW00012917,KBPT,KORG,72241012917,BETT2,72362953998"
nederland,2025-03-31T15:00:00,86,89.4,67.9,55.01,0,0,,0,0,13.4,3.4,9,1010.6,49.4,9.9,771,2.8,8,,Partially cloudy,partly-cloudy-day,"USW00012917,KBPT,KORG,72241012917,BETT2,72362953998"
nederland,2025-03-31T16:00:00,87.1,89.4,65.9,49.35,0,0,,0,0,13,4.6,626,1009.8,50,8.7,559,2,6,,Partially cloudy,partly-cloudy-day,"USW00012917,KBPT,KORG,72241012917,BETT2,72362953998"
nederland,2025-03-31T17:00:00,83.9,86.4,66.7,56.43,0,0,,0,0,12.3,6.9,330,1009.9,50,9.9,403,1.5,4,,Partially cloudy,partly-cloudy-day,"USW00012917,KBPT,KORG,72241012917,BETT2,72362953998"
nederland,2025-03-31T18:00:00,83.9,86.4,66.8,56.45,0,0,,0,0,11.4,8,30,1009.7,26.4,9.9,346,1.2,3,,Partially cloudy,partly-cloudy-day,"USW00012917,KBPT,KORG,72241012917,BETT2,72362953998"
nederland,2025-03-31T19:00:00,80.9,83.6,67.9,64.81,0,0,,0,0,9.8,5.7,10,1009.9,0,9.9,25,0.1,0,,Clear,clear-day,"D3611,USW00012917,KBPT,KORG,72241012917,72362953998"
nederland,2025-03-31T20:00:00,74.9,74.9,70,84.68,0,0,,0,0,6.3,0,291,1009.9,0,9.9,0,0,0,,Clear,clear-night,"D3611,USW00012917,KBPT,KORG,72241012917,72362953998"
nederland,2025-03-31T21:00:00,72,72,70,93.6,0,0,,0,0,6.7,0,289,1010.6,0.6,6.9,0,0,0,,Clear,clear-night,"D3611,USW00012917,KBPT,KORG,72241012917,72362953998"
nederland,2025-03-31T22:00:00,70.1,70.1,69.1,96.64,0,0,,0,0,6.7,0.1,290,1010.9,27.1,6.3,0,0,0,,Partially cloudy,partly-cloudy-night,"D3611,USW00012917,KBPT,KORG,72241012917,72362953998"
nederland,2025-03-31T23:00:00,68.8,68.8,68,97.32,0,0,,0,0,6.9,4.7,159,1010.7,0.5,3.2,0,0,0,,Clear,clear-night,"D3611,USW00012917,KBPT,KORG,72241012917,72362953998"
