time,area,actual_total_load_mw,total_load_forecast_mw
31/03/2025 00:00 - 31/03/2025 00:15,BZN|NL,11695.42,12478.68
31/03/2025 00:15 - 31/03/2025 00:30,BZN|NL,11425.94,12360.65
31/03/2025 00:30 - 31/03/2025 00:45,BZN|NL,11295.14,12266.77
31/03/2025 00:45 - 31/03/2025 01:00,BZN|NL,11087.49,12110.85
31/03/2025 01:00 - 31/03/2025 01:15,BZN|NL,11032.68,11436.81
31/03/2025 01:15 - 31/03/2025 01:30,BZN|NL,11026.16,11329.51
31/03/2025 01:30 - 31/03/2025 01:45,BZN|NL,10839.69,11258.88
31/03/2025 01:45 - 31/03/2025 02:00,BZN|NL,10722.68,11152.57
31/03/2025 02:00 - 31/03/2025 02:15,BZN|NL,10665.53,11043.33
31/03/2025 02:15 - 31/03/2025 02:30,BZN|NL,10616.48,10935.29
31/03/2025 02:30 - 31/03/2025 02:45,BZN|NL,10600.41,10844.64
31/03/2025 02:45 - 31/03/2025 03:00,BZN|NL,10560.34,10771.11
31/03/2025 03:00 - 31/03/2025 03:15,BZN|NL,10518.31,10729.35
31/03/2025 03:15 - 31/03/2025 03:30,BZN|NL,10535.62,10724.78
31/03/2025 03:30 - 31/03/2025 03:45,BZN|NL,10654.05,10694.22
31/03/2025 03:45 - 31/03/2025 04:00,BZN|NL,10654.94,10635.38
31/03/2025 04:00 - 31/03/2025 04:15,BZN|NL,10666.43,10628.38
31/03/2025 04:15 - 31/03/2025 04:30,BZN|NL,10742.55,10668.1
31/03/2025 04:30 - 31/03/2025 04:45,BZN|NL,10783.02,10669.15
31/03/2025 04:45 - 31/03/2025 05:00,BZN|NL,10750.92,10696.63
31/03/2025 05:00 - 31/03/2025 05:15,BZN|NL,10822.05,10777.19
31/03/2025 05:15 - 31/03/2025 05:30,BZN|NL,10931.19,10775.33
31/03/2025 05:30 - 31/03/2025 05:45,BZN|NL,11158.02,10804.3
31/03/2025 05:45 - 31/03/2025 06:00,BZN|NL,11296.76,10896.99
31/03/2025 06:00 - 31/03/2025 06:15,BZN|NL,11753.18,11047.34
31/03/2025 06:15 - 31/03/2025 06:30,BZN|NL,12041.48,11192.98
31/03/2025 06:30 - 31/03/2025 06:45,BZN|NL,12430.81,11366.12
31/03/2025 06:45 - 31/03/2025 07:00,BZN|NL,12834.3,11623.01
31/03/2025 07:00 - 31/03/2025 07:15,BZN|NL,13432.65,11822.52
31/03/2025 07:15 - 31/03/2025 07:30,BZN|NL,13815.61,12045.32
31/03/2025 07:30 - 31/03/2025 07:45,BZN|NL,14168.66,12123.94
31/03/2025 07:45 - 31/03/2025 08:00,BZN|NL,14358.77,12299.75
31/03/2025 08:00 - 31/03/2025 08:15,BZN|NL,14497.62,12518.78
31/03/2025 08:15 - 31/03/2025 08:30,BZN|NL,14483.29,12702.89
31/03/2025 08:30 - 31/03/2025 08:45,BZN|NL,14497.35,12815.26
31/03/2025 08:45 - 31/03/2025 09:00,BZN|NL,14600.5,12865.93
31/03/2025 09:00 - 31/03/2025 09:15,BZN|NL,14437.52,12918.54
31/03/2025 09:15 - 31/03/2025 09:30,BZN|NL,14425.24,12759.98
31/03/2025 09:30 - 31/03/2025 09:45,BZN|NL,14273.29,12640.56
31/03/2025 09:45 - 31/03/2025 10:00,BZN|NL,14169.22,12455.75
31/03/2025 10:00 - 31/03/2025 10:15,BZN|NL,13891.3,12028.07
31/03/2025 10:15 - 31/03/2025 10:30,BZN|NL,13653.31,11661.55
31/03/2025 10:30 - 31/03/2025 10:45,BZN|NL,13525.68,11355.61
31/03/2025 10:45 - 31/03/2025 11:00,BZN|NL,13387.52,10950.89
31/03/2025 11:00 - 31/03/2025 11:15,BZN|NL,13319.5,10429.59
31/03/2025 11:15 - 31/03/2025 11:30,BZN|NL,13245.55,9927.45
